m,eci,d,mult
7,21,7,1
7,34,7,3
7,39,7,1
7,41,7,2
7,43,7,3
7,45,7,2
7,52,7,2
7,54,7,3
7,56,7,2
7,61,7,1
7,63,7,1
7,65,7,1
7,74,7,1
8,25,6,1
8,37,6,4
8,38,6,1
8,39,6,1
8,40,6,6
8,41,6,1
8,45,6,2
8,46,6,2
8,47,6,6
8,48,6,6
8,49,6,8
8,50,6,4
8,51,6,6
8,52,6,2
8,53,6,4
8,54,6,2
8,57,6,2
8,58,6,3
8,59,6,2
8,60,6,7
8,61,6,2
8,62,6,3
8,63,6,2
8,64,6,4
8,66,6,2
8,68,6,1
8,69,6,1
8,70,6,1
8,73,6,1
8,74,6,1
8,77,6,1
9,29,6,2
9,40,6,2
9,41,6,1
9,42,6,7
9,43,6,12
9,44,6,4
9,45,6,3
9,46,6,16
9,47,6,7
9,48,6,4
9,50,6,3
9,51,6,8
9,52,6,15
9,53,6,15
9,54,6,21
9,55,6,14
9,56,6,14
9,57,6,17
9,58,6,9
9,59,6,8
9,60,6,3
9,61,6,4
9,62,6,2
9,63,6,1
9,64,6,6
9,65,6,3
9,66,6,7
9,67,6,2
9,68,6,4
9,69,6,5
9,70,6,4
9,71,6,2
9,72,6,4
9,73,6,2
9,74,6,1
9,76,6,2
9,78,6,1
9,84,6,1
10,33,5,5
10,43,5,1
10,44,5,6
10,45,5,6
10,46,5,10
10,47,5,12
10,48,5,33
10,49,5,36
10,50,5,19
10,51,5,10
10,52,5,38
10,53,5,22
10,54,5,13
10,55,5,10
10,56,5,14
10,57,5,24
10,58,5,24
10,59,5,30
10,60,5,44
10,61,5,24
10,62,5,18
10,63,5,13
10,64,5,16
10,65,5,11
10,66,5,6
10,67,5,3
10,68,5,2
10,69,5,7
10,70,5,4
10,71,5,1
10,72,5,3
10,73,5,3
10,74,5,3
10,75,5,2
10,76,5,3
10,77,5,3
10,78,5,2
10,80,5,1
10,81,5,2
10,82,5,1
10,86,5,1
11,37,5,10
11,44,5,3
11,46,5,1
11,47,5,3
11,48,5,12
11,49,5,18
11,50,5,38
11,51,5,36
11,52,5,49
11,53,5,50
11,54,5,83
11,55,5,76
11,56,5,47
11,57,5,11
11,58,5,60
11,59,5,32
11,60,5,23
11,61,5,22
11,62,5,28
11,63,5,30
11,64,5,29
11,65,5,29
11,66,5,31
11,67,5,20
11,68,5,17
11,69,5,14
11,70,5,5
11,71,5,4
11,72,5,8
11,73,5,6
11,74,5,3
11,75,5,1
11,76,5,3
11,77,5,3
11,79,5,1
11,80,5,1
11,81,5,2
11,82,5,1
11,85,5,1
11,86,5,2
11,90,5,1
12,41,5,21
12,48,5,32
12,50,5,1
12,51,5,9
12,52,5,44
12,53,5,49
12,54,5,78
12,55,5,82
12,56,5,113
12,57,5,86
12,58,5,93
12,59,5,88
12,60,5,107
12,61,5,72
12,62,5,33
12,63,5,9
12,64,5,49
12,65,5,19
12,66,5,23
12,67,5,22
12,68,5,22
12,69,5,19
12,70,5,21
12,71,5,16
12,72,5,17
12,73,5,6
12,74,5,8
12,75,5,10
12,76,5,5
12,77,5,1
12,78,5,1
12,79,5,3
12,80,5,4
12,81,5,1
12,82,5,2
12,85,5,1
12,88,5,1
12,94,5,1
13,38,4,1
13,45,4,40
13,52,4,124
13,54,4,2
13,55,4,15
13,56,4,97
13,57,4,132
13,58,4,125
13,59,4,111
13,60,4,137
13,61,4,114
13,62,4,123
13,63,4,81
13,64,4,61
13,65,4,65
13,66,4,55
13,67,4,33
13,68,4,11
13,69,4,6
13,70,4,33
13,71,4,9
13,72,4,12
13,73,4,10
13,74,4,12
13,75,4,7
13,76,4,8
13,77,4,7
13,78,4,8
13,79,4,1
13,80,4,1
13,81,4,5
13,82,4,3
13,83,4,1
13,86,4,1
13,87,4,1
13,88,4,1
13,93,4,1
14,42,4,1
14,49,4,64
14,56,4,322
14,58,4,3
14,59,4,17
14,60,4,119
14,61,4,205
14,62,4,167
14,63,4,104
14,64,4,124
14,65,4,85
14,66,4,86
14,67,4,71
14,68,4,67
14,69,4,17
14,70,4,26
14,71,4,27
14,72,4,18
14,73,4,11
14,74,4,6
14,75,4,2
14,76,4,10
14,77,4,3
14,78,4,4
14,79,4,4
14,80,4,4
14,81,4,1
14,82,4,1
14,83,4,3
14,84,4,3
14,87,4,1
14,88,4,1
14,89,4,1
14,94,4,1
15,46,4,2
15,53,4,95
15,60,4,552
15,62,4,2
15,63,4,14
15,64,4,94
15,65,4,196
15,66,4,170
15,67,4,62
15,68,4,84
15,69,4,62
15,70,4,38
15,71,4,27
15,72,4,46
15,73,4,18
15,74,4,12
15,75,4,4
15,76,4,8
15,77,4,9
15,78,4,6
15,79,4,3
15,80,4,1
15,82,4,2
15,83,4,1
15,84,4,2
15,85,4,1
15,86,4,1
15,89,4,1
15,90,4,1
15,95,4,1
16,50,4,5
16,57,4,126
16,64,4,656
16,66,4,1
16,67,4,7
16,68,4,53
16,69,4,129
16,70,4,132
16,71,4,25
16,72,4,39
16,73,4,40
16,74,4,20
16,75,4,4
16,76,4,17
16,77,4,10
16,78,4,11
16,79,4,2
16,80,4,1
16,81,4,2
16,82,4,2
16,83,4,3
16,84,4,2
16,88,4,1
16,90,4,1
16,96,4,1
17,54,3,9
17,61,3,139
17,68,3,585
17,70,3,1
17,71,3,3
17,72,3,22
17,73,3,63
17,74,3,83
17,75,3,5
17,76,3,13
17,77,3,18
17,78,3,11
17,79,3,3
17,80,3,1
17,81,3,2
17,82,3,5
17,83,3,2
17,84,3,1
17,87,3,1
17,88,3,1
17,89,3,1
17,94,3,1
18,51,3,1
18,58,3,14
18,65,3,133
18,72,3,419
18,75,3,1
18,76,3,7
18,77,3,23
18,78,3,41
18,80,3,2
18,81,3,6
18,82,3,5
18,83,3,2
18,86,3,1
18,87,3,1
18,88,3,1
18,93,3,1
19,55,3,1
19,62,3,20
19,69,3,110
19,76,3,239
19,80,3,2
19,81,3,7
19,82,3,16
19,85,3,1
19,86,3,2
19,87,3,1
19,92,3,1
20,59,3,2
20,66,3,22
20,73,3,73
20,80,3,114
20,85,3,2
20,86,3,6
20,91,3,1
21,63,3,4
21,70,3,20
21,77,3,41
21,84,3,46
21,90,3,3
22,60,2,1
22,67,2,5
22,74,2,15
22,81,2,20
22,88,2,15
23,64,2,1
23,71,2,5
23,78,2,9
23,85,2,6
23,92,2,3
24,68,2,2
24,75,2,4
24,82,2,3
24,89,2,1
24,96,2,1
25,65,2,1
25,72,2,2
25,79,2,1
25,86,2,1
26,69,2,1
26,76,2,1
27,66,2,1
28,56,1,1
