m,eci,d,mult
8,24,8,1
8,39,8,3
8,44,8,1
8,46,8,2
8,48,8,4
8,50,8,4
8,52,8,3
8,59,8,2
8,61,8,5
8,63,8,5
8,65,8,2
8,68,8,1
8,70,8,2
8,72,8,3
8,74,8,3
8,76,8,2
8,83,8,1
8,85,8,1
8,87,8,1
8,96,8,1
9,28,7,1
9,42,7,6
9,43,7,1
9,44,7,1
9,45,7,7
9,46,7,2
9,50,7,2
9,51,7,2
9,52,7,7
9,53,7,4
9,54,7,13
9,55,7,10
9,56,7,16
9,57,7,6
9,58,7,12
9,59,7,2
9,60,7,5
9,61,7,2
9,62,7,1
9,63,7,2
9,64,7,5
9,65,7,4
9,66,7,8
9,67,7,15
9,68,7,10
9,69,7,16
9,70,7,7
9,71,7,11
9,72,7,5
9,73,7,8
9,75,7,5
9,76,7,2
9,77,7,3
9,78,7,4
9,79,7,4
9,80,7,4
9,81,7,4
9,82,7,3
9,83,7,2
9,84,7,4
9,85,7,2
9,86,7,3
9,88,7,2
9,90,7,1
9,91,7,1
9,93,7,1
9,94,7,1
9,97,7,1
9,98,7,1
9,101,7,1
10,32,7,2
10,45,7,2
10,46,7,1
10,47,7,10
10,48,7,18
10,49,7,4
10,50,7,3
10,51,7,21
10,52,7,13
10,53,7,5
10,55,7,4
10,56,7,6
10,57,7,13
10,58,7,29
10,59,7,34
10,60,7,44
10,61,7,43
10,62,7,41
10,63,7,38
10,64,7,43
10,65,7,25
10,66,7,33
10,67,7,9
10,68,7,14
10,69,7,10
10,70,7,10
10,71,7,16
10,72,7,20
10,73,7,37
10,74,7,21
10,75,7,36
10,76,7,24
10,77,7,20
10,78,7,20
10,79,7,23
10,80,7,12
10,81,7,11
10,82,7,9
10,83,7,9
10,84,7,4
10,85,7,10
10,86,7,2
10,87,7,4
10,88,7,5
10,89,7,8
10,90,7,2
10,91,7,3
10,92,7,5
10,93,7,6
10,94,7,2
10,95,7,2
10,96,7,4
10,97,7,2
10,99,7,1
10,100,7,2
10,104,7,1
10,110,7,1
11,36,6,5
11,48,6,2
11,49,6,7
11,50,6,8
11,51,6,11
11,52,6,16
11,53,6,47
11,54,6,63
11,55,6,21
11,56,6,15
11,57,6,67
11,58,6,64
11,59,6,28
11,60,6,11
11,61,6,23
11,62,6,48
11,63,6,55
11,64,6,94
11,65,6,116
11,66,6,158
11,67,6,114
11,68,6,119
11,69,6,119
11,70,6,95
11,71,6,80
11,72,6,79
11,73,6,49
11,74,6,43
11,75,6,17
11,76,6,32
11,77,6,29
11,78,6,28
11,79,6,45
11,80,6,37
11,81,6,45
11,82,6,35
11,83,6,41
11,84,6,35
11,85,6,28
11,86,6,18
11,87,6,21
11,88,6,21
11,89,6,12
11,90,6,10
11,91,6,12
11,92,6,9
11,93,6,7
11,94,6,3
11,95,6,5
11,96,6,1
11,97,6,4
11,98,6,4
11,99,6,4
11,100,6,2
11,101,6,2
11,102,6,1
11,103,6,3
11,104,6,2
11,106,6,1
11,107,6,2
11,108,6,1
11,112,6,1
12,40,6,11
12,51,6,1
12,52,6,4
12,53,6,9
12,54,6,25
12,55,6,40
12,56,6,48
12,57,6,56
12,58,6,89
12,59,6,191
12,60,6,218
12,61,6,108
12,62,6,67
12,63,6,185
12,64,6,215
12,65,6,116
12,66,6,82
12,67,6,101
12,68,6,169
12,69,6,193
12,70,6,223
12,71,6,274
12,72,6,384
12,73,6,204
12,74,6,206
12,75,6,192
12,76,6,189
12,77,6,114
12,78,6,88
12,79,6,79
12,80,6,64
12,81,6,47
12,82,6,40
12,83,6,35
12,84,6,39
12,85,6,37
12,86,6,30
12,87,6,35
12,88,6,43
12,89,6,37
12,90,6,31
12,91,6,26
12,92,6,28
12,93,6,18
12,94,6,14
12,95,6,17
12,96,6,16
12,97,6,13
12,98,6,5
12,99,6,7
12,100,6,7
12,101,6,7
12,102,6,5
12,104,6,1
12,105,6,3
12,106,6,1
12,107,6,1
12,108,6,2
12,109,6,1
12,113,6,1
12,114,6,2
12,118,6,1
13,44,6,24
13,52,6,5
13,54,6,1
13,55,6,4
13,56,6,17
13,57,6,28
13,58,6,54
13,59,6,83
13,60,6,158
13,61,6,222
13,62,6,253
13,63,6,266
13,64,6,391
13,65,6,607
13,66,6,582
13,67,6,350
13,68,6,159
13,69,6,390
13,70,6,452
13,71,6,276
13,72,6,227
13,73,6,287
13,74,6,372
13,75,6,370
13,76,6,343
13,77,6,366
13,78,6,501
13,79,6,266
13,80,6,208
13,81,6,170
13,82,6,181
13,83,6,136
13,84,6,98
13,85,6,59
13,86,6,49
13,87,6,52
13,88,6,57
13,89,6,45
13,90,6,19
13,91,6,26
13,92,6,31
13,93,6,19
13,94,6,23
13,95,6,25
13,96,6,21
13,97,6,20
13,98,6,18
13,99,6,12
13,100,6,16
13,101,6,15
13,102,6,7
13,103,6,6
13,104,6,6
13,105,6,13
13,106,6,4
13,107,6,1
13,108,6,1
13,109,6,3
13,110,6,5
13,111,6,1
13,115,6,1
13,117,6,1
13,124,6,1
14,48,5,56
14,56,5,50
14,58,5,1
14,59,5,12
14,60,5,71
14,61,5,106
14,62,5,201
14,63,5,240
14,64,5,389
14,65,5,505
14,66,5,720
14,67,5,825
14,68,5,850
14,69,5,787
14,70,5,917
14,71,5,1145
14,72,5,941
14,73,5,510
14,74,5,198
14,75,5,569
14,76,5,575
14,77,5,377
14,78,5,372
14,79,5,429
14,80,5,458
14,81,5,378
14,82,5,331
14,83,5,287
14,84,5,400
14,85,5,212
14,86,5,176
14,87,5,124
14,88,5,93
14,89,5,90
14,90,5,84
14,91,5,63
14,92,5,37
14,93,5,21
14,94,5,37
14,95,5,44
14,96,5,23
14,97,5,16
14,98,5,15
14,99,5,10
14,100,5,21
14,101,5,11
14,102,5,5
14,103,5,9
14,104,5,11
14,105,5,9
14,106,5,6
14,107,5,6
14,108,5,4
14,109,5,8
14,110,5,6
14,112,5,1
14,113,5,5
14,114,5,3
14,115,5,1
14,118,5,1
14,119,5,1
14,120,5,1
14,125,5,1
15,44,5,1
15,52,5,114
15,60,5,277
15,62,5,2
15,63,5,29
15,64,5,256
15,65,5,451
15,66,5,622
15,67,5,727
15,68,5,943
15,69,5,1030
15,70,5,1314
15,71,5,1427
15,72,5,1637
15,73,5,1607
15,74,5,1316
15,75,5,941
15,76,5,1160
15,77,5,1170
15,78,5,824
15,79,5,359
15,80,5,216
15,81,5,548
15,82,5,451
15,83,5,337
15,84,5,358
15,85,5,359
15,86,5,324
15,87,5,256
15,88,5,211
15,89,5,174
15,90,5,208
15,91,5,109
15,92,5,118
15,93,5,81
15,94,5,49
15,95,5,30
15,96,5,43
15,97,5,44
15,98,5,37
15,99,5,21
15,100,5,12
15,101,5,17
15,102,5,17
15,103,5,14
15,104,5,13
15,105,5,6
15,106,5,6
15,107,5,5
15,108,5,6
15,109,5,1
15,110,5,2
15,111,5,3
15,112,5,4
15,113,5,4
15,114,5,1
15,116,5,2
15,117,5,2
15,118,5,3
15,121,5,1
15,122,5,1
15,123,5,1
15,128,5,1
16,48,5,1
16,56,5,220
16,64,5,1199
16,66,5,4
16,67,5,55
16,68,5,632
16,69,5,1409
16,70,5,1531
16,71,5,1492
16,72,5,1728
16,73,5,1763
16,74,5,1899
16,75,5,1879
16,76,5,1903
16,77,5,1821
16,78,5,1764
16,79,5,1387
16,80,5,821
16,81,5,701
16,82,5,842
16,83,5,688
16,84,5,420
16,85,5,208
